dates     glaicer snow_cover sd t2m tp sden z sdor lsm pt
19970809: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970810: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970811: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970812: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970813: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970814: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970815: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970816: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970817: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970818: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970819: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970820: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970821: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970822: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970823: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970824: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970825: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970826: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970827: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970828: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970829: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970830: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970831: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970901: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970902: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970903: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970904: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970905: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970906: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970907: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970908: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970909: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970910: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970911: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970912: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970913: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970914: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970915: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970916: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970917: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970918: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970919: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970920: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970921: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970922: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970923: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970924: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970925: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970926: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970927: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970928: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970929: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19970930: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971001: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971002: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971003: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971004: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971005: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971006: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971007: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971008: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971009: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971010: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971011: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971012: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971013: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971014: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971015: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971016: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971017: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971018: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971019: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971020: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971021: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971022: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971023: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971024: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971025: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971026: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971027: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971028: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971029: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971030: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971031: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971101: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971102: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971103: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971104: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971105: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971106: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971107: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971108: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971109: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971110: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971111: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971112: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971113: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971114: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971115: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971116: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971117: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971118: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971119: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971120: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971121: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971122: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971123: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971124: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971125: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971126: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971127: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971128: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971129: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971130: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971201: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971202: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971203: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971204: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971205: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971206: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971207: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971208: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971209: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971210: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971211: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971212: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971213: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971214: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971215: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971216: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971217: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971218: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971219: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971220: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971221: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971222: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971223: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971224: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971225: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971226: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971227: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971228: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971229: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971230: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19971231: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980101: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980102: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980103: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980104: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980105: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980106: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980107: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980108: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980109: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980110: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980111: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980112: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980113: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980114: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980115: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980116: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980117: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980118: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980119: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980120: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980121: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980122: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980123: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980124: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980125: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980126: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980127: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980128: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980129: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980130: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980131: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980201: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980202: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980203: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980204: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980205: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980206: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980207: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980208: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980209: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980210: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980211: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980212: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980213: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980214: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980215: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980216: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980217: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980218: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980219: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980220: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980221: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980222: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980223: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980224: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980225: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980226: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980227: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980228: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980301: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980302: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980303: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980304: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980305: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980306: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980307: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980308: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980309: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980310: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980311: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980312: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980313: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980314: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980315: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980316: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980317: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980318: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980319: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980320: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980321: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980322: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980323: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980324: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980325: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980326: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980327: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980328: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980329: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980330: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980331: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980401: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980402: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980403: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980404: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980405: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980406: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980407: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980408: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980409: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980410: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980411: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980412: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980413: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980414: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980415: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980416: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980417: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980418: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980419: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980420: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980421: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980422: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980423: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980424: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980425: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980426: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980427: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980428: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980429: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980430: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980501: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980502: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980503: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980504: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980505: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980506: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980507: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980508: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980509: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980510: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980511: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980512: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980513: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980514: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980515: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980516: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980517: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980518: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980519: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980520: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980521: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980522: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980523: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980524: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980525: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980526: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980527: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980528: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980529: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980530: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980531: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980601: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980602: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980603: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980604: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980605: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980606: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980607: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980608: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980609: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980610: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980611: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980612: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980613: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980614: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980615: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980616: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980617: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980618: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980619: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980620: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980621: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980622: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980623: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980624: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980625: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980626: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980627: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980628: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980629: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980630: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980701: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980702: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980703: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980704: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980705: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980706: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980707: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980708: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980709: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980710: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980711: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980712: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980713: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980714: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980715: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980716: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980717: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980718: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980719: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980720: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980721: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980722: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980723: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980724: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980725: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980726: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980727: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980728: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980729: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980730: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980731: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980801: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980802: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980803: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980804: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980805: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980806: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980807: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980808: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980809: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980810: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980811: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980812: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980813: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980814: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980815: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980816: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980817: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980818: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980819: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980820: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980821: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980822: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980823: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980824: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980825: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980826: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980827: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980828: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980829: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980830: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980831: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980901: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980902: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980903: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980904: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980905: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980906: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980907: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980908: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980909: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980910: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
19980911: VALID VALID VALID VALID VALID VALID VALID VALID VALID VALID
